漢字,読み
因機説法,いんきせっぽう
婬虐暴戻,いんぎゃくぼうれい
一所不住,いっしょふじゅう
一新更始,いっしんこうし
一心精進,いっしんしょうじん
一酔千日,いっすいせんにち
一寸光陰,いっすんのこういん
一寸丹心,いっすんのたんしん
一盛一衰,いっせいいっすい
一挙両失,いっきょりょうしつ
一暴十寒,いちばくじっかん
一触即発,いっしょくそくはつ
一生不犯,いっしょうふぼん
一唱三嘆,いっしょうさんたん
衣鉢相伝,いはつそうでん
意馬心猿,いばしんえん
以肉去蟻,いにくきょぎ
以毒制毒,いどくせいどく
意到随筆,いとうずいひつ
一片氷心,いっぺんのひょうしん
一碧万頃,いっぺきばんけい
一筆抹殺,いっぴつまっさつ
一筆啓上,いっぴつけいじょう
溢美溢悪,いつびいつあく
一飯之恩,いっぱんのおん
一飯千金,いっぱんせんきん
一敗塗地,いっぱいとち
一徹無垢,いってつむく
一斗百編,いっとひゃっぺん
一刀三礼,いっとうさんらい
一天万乗,いってんばんじょう
一天四海,いってんしかい
一点一画,いってんいっかく
一徹短慮,いってつたんりょ
慇懃丁重,いんぎんていちょう
慇懃無礼,いんぎんぶれい
咽喉之地,いんこうのち
淫祠邪教,いんしじゃきょう
因循姑息,いんじゅんこそく
因循苟且,いんじゅんこうしょ
因循守旧,いんじゅんしゅきゅう
因小失大,いんしょうしつだい
陰森凄幽,いんしんせいゆう
一擲千金,いってきせんきん
一定不変,いっていふへん
一朝有事,いっちょうゆうじ
一朝富貴,いっちょうのふうき
一超直入,いっちょうじきにゅう
一知半解,いっちはんかい
一張一弛,いっちょういっし
一致団結,いっちだんけつ
一致協力,いっちきょうりょく
飲灰洗胃,いんかいせんい
葦末之巣,いまつのす
意在言外,いざいげんがい
為虎添翼,いこてんよく
異国情調,いこくじょうちょう
衣香襟影,いこうきんえい
夷険一節,いけんいっせつ
郁郁青青,いくいくせいせい
一笑一顰,いっしょういっぴん
一觴一詠,いっしょういちえい
一宿一飯,いっしゅくいっぱん
一瀉千里,いっしゃせんり
一視同仁,いっしどうじん
一子相伝,いっしそうでん
一死七生,いっししちしょう
隠忍自重,いんにんじちょう
陰謀詭計,いんぼうきけい
引喩失義,いんゆしつぎ
陰陽五行,いんようごぎょう
陰陽和合,いんようわごう
移木之信,いぼくのしん
以貌取人,いぼうしゅじん
以暴易暴,いぼうえきぼう
以弁飾知,いべんしょくち
韋編三絶,いへんさんぜつ
異聞奇譚,いぶんきたん
畏怖嫌厭,いふけんえん
緯武経文,いぶけいぶん
威風凛々,いふうりんりん
威風凛然,いふうりんぜん
遺風残香,いふうざんこう
移風易俗,いふうえきぞく
萎靡沈滞,いびちんたい
萎靡因循,いびいんじゅん
夷蛮戎狄,いばんじゅうてき
一旦緩急,いったんかんきゅう
倚門之望,いもんのぼう
衣錦還郷,いきんかんきょう
以卵投石,いらんとうせき
異類異形,いるいいぎょう
異類中行,いるいちゅうぎょう
異路同帰,いろどうき
陰々滅々,いんいんめつめつ
飲水思源,いんすいしげん
隠姓埋名,いんせいまいめい
陰徳陽報,いんとくようほう
一言一行,いちげんいっこう
一芸一能,いちげいいちのう
一行知識,いちぎょうちしき
以魚駆蠅,いぎょくよう
異曲同工,いきょくどうこう
委曲求全,いきょくきゅうぜん
以杞包瓜,いきほうか
意先筆後,いせんひつご
逸事奇聞,いつじきぶん
一殺多生,いっさつたしょう
一切衆生,いっさいしゅじょう
一顧万両,いっこばんりょう
一口両舌,いっこうりょうぜつ
一件落着,いっけんらくちゃく
一虚一盈,いっきょいちえい
一球入魂,いっきゅうにゅうこん
一饋十起,いっきじっき
一気呵成,いっきかせい
一牛鳴地,いちぎゅうめいち
一往一来,いちおういちらい
一月三舟,いちげつさんしゅう
一円一帯,いちえんいったい
一栄一落,いちえいいちらく
一意奮闘,いちいふんとう
一望際涯,いちぼうさいがい
一別以来,いちべついらい
一物一景,いちぶついっけい
一病息災,いちびょうそくさい
一罰百戒,いちばつひゃっかい
一能一芸,いちのういちげい
一念発心,いちねんほっしん
一日千里,いちにちせんり
一読三嘆,いちどくさんたん
一団和気,いちだんのわき
異体同心,いたいどうしん
衣食礼節,いしょくれいせつ
以升量石,いしょうりょうこく
衣装道楽,いしょうどうらく
意匠惨澹,いしょうさんたん
意趣卓逸,いしゅたくいつ
一意攻苦,いちいこうく
異端邪説,いたんじゃせつ
一諾千金,いちだくせんきん
一族郎党,いちぞくろうとう
一新紀元,いちしんきげん
一場春夢,いちじょうのしゅんむ
一上一下,いちじょういちげ
一樹百穫,いちじゅひゃっかく
一字褒貶,いちじほうへん
一字不説,いちじふせつ
意気阻喪,いきそそう
意気衝天,いきしょうてん
一竿風月,いっかんふうげつ
一家眷族,いっかけんぞく
一路順風,いちろじゅんぷう
一六勝負,いちろくしょうぶ
一労永逸,いちろうえいいつ
一蓮托生,いちれんたくしょう
一粒万倍,いちりゅうまんばい
一利一害,いちりいちがい
一葉知秋,いちようちしゅう
一夜十起,いちやじっき
一文半銭,いちもんはんせん
一目十行,いちもくじゅうぎょう
一毛不抜,いちもうふばつ
一味徒党,いちみととう
位階褫奪,いかいちだつ
萎縮震慄,いしゅくしんりつ
衣繍夜行,いしゅうやこう
異端邪宗,いたんじゃしゅう
衣帯不解,いたいふかい
一字半句,いちじはんく
意気自如,いきじじょ
意気昂然,いきこうぜん
一味同心,いちみどうしん
一味爽涼,いちみそうりょう
一枚看板,いちまいかんばん
一木難支,いちぼくなんし
一木一草,いちぼくいっそう
遺臭万載,いしゅうばんざい
意趣遺恨,いしゅいこん
石部金吉,いしべきんきち
意思表示,いしひょうじ
意志薄弱,いしはくじゃく
易往易行,いおういぎょう
医鬱排悶,いうつはいもん
意気軒昂,いきけんこう
衣冠束帯,いかんそくたい
遺憾千万,いかんせんばん
一望無垠,いちぼうむぎん
唯唯諾諾,いいだくだく
以夷制夷,いいせいい
異域之鬼,いいきのき
以耳代目,いじだいもく
一体分身,いったいぶんしん
意思疎通,いしそつう
意志堅固,いしけんご
