漢字,読み
臥竜鳳雛,がりょうほうすう
迦陵頻伽,かりょうびんが
寡聞少見,かぶんしょうけん
寡聞浅学,かぶんせんがく
禍福得喪,かふくとくそう
家内狼藉,かないろうぜき
禍福倚伏,かふくいふく
歌舞歓楽,かぶかんらく
家内安全,かないあんぜん
家徒四壁,かとしへき
寡頭政治,かとうせいじ
河図洛書,かとらくしょ
瓜田李下,かでんりか
活溌溌地,かっぱつはっち
活発婉麗,かっぱつえんれい
闊達無礙,かったつむげ
闊達自在,かったつじざい
闊達豪放,かったつごうほう
豁然大悟,かつぜんたいご
合従連衡,がっしょうれんこう
合掌礼拝,がっしょうらいはい
活殺自在,かっさつじざい
確乎不抜,かっこふばつ
確乎不動,かっこふどう
渇仰随喜,かつごうずいき
活気横溢,かっきおういつ
活火激発,かっかげきはつ
観感興起,かんかんこうき
干戈騒乱,かんかそうらん
轗軻数奇,かんかすうき
鰥寡孤独,かんかこどく
感慨悲慟,かんがいひどう
敢為邁往,かんいまいおう
閑雲野鶴,かんうんやかく
簡易軽便,かんいけいべん
嘉辰令月,かしんれいげつ
花晨月夕,かしんげっせき
華燭之典,かしょくのてん
灰心喪気,かいしんそうき
悔悟憤発,かいごふんぱつ
開山祖師,かいざんそし
解語之花,かいごのはな
邂逅相遇,かいこうそうぐう
画脂鏤氷,がしろうひょう
火主水従,かしゅすいじゅう
加持祈祷,かじきとう
河山帯礪,かざんたいれい
家鶏野鶩,かけいやぼく
嫁鶏随鶏,かけいずいけい
嘉言善行,かげんぜんこう
花紅柳緑,かこうりゅうりょく
格物究理,かくぶつきゅうり
格調高雅,かくちょうこうが
鶴髪童顔,かくはつどうがん
廓然無聖,かくねんむしょう
隔岸観火,かくがんかんか
廓然大公,かくぜんたいこう
各人各様,かくじんかくよう
架空無稽,かくうむけい
科挙圧巻,かきょあっかん
学知利行,がくちりこう
家給人足,かきゅうじんそく
花顔柳腰,かがんりゅうよう
花顔雪膚,かがんせっぷ
夏下冬上,かかとうじょう
夏虫疑氷,かちゅうぎひょう
花朝月夕,かちょうげっせき
画蛇添足,がだてんそく
花鳥諷詠,かちょうふうえい
過大評価,かだいひょうか
雅俗混交,がぞくこんこう
雅俗折衷,がぞくせっちゅう
佳人薄命,かじんはくめい
外交辞令,がいこうじれい
瓜葛之親,かかつのしん
呵々大笑,かかたいしょう
蝸角之争,かかくのあらそい
下学上達,かがくじょうたつ
薤露蒿里,かいろこうり
冠前絶後,かんぜんぜつご
改頭換面,かいとうかんめん
回天事業,かいてんのじぎょう
改天換地,かいてんかんち
海底撈月,かいていろうげつ
管仲随馬,かんちゅうずいば
怪誕不経,かいたんふけい
寒煖饑飽,かんだんきほう
街談巷説,がいだんこうせつ
咳唾成珠,がいだせいじゅ
海内無双,かいだいむそう
開口一番,かいこういちばん
解甲帰田,かいこうきでん
開雲見日,かいうんけんじつ
開闢草昧,かいびゃくそうまい
夏雲奇峰,かうんきほう
偕老同穴,かいろうどうけつ
怪力乱神,かいりょくらんしん
傀儡政権,かいらいせいけん
開物成務,かいぶつせいむ
快馬加鞭,かいばかべん
開門揖盗,かいもんゆうとう
槐門棘路,かいもんきょくろ
寒気凛冽,かんきりんれつ
旱天慈雨,かんてんじう
回光返照,かいこうへんしょう
関雎之化,かんしょのか
懐玉有罪,かいぎょくゆうざい
海内奇士,かいだいのきし
懐才不遇,かいさいふぐう
完全無欠,かんぜんむけつ
緩急自在,かんきゅうじざい
感慨無量,かんがいむりょう
夏炉冬扇,かろとうせん
画竜点睛,がりょうてんせい
隔靴掻痒,かっかそうよう
花鳥風月,かちょうふうげつ
臥薪嘗胆,がしんしょうたん
快刀乱麻,かいとうらんま
我田引水,がでんいんすい
希少価値,きしょうかち
金友玉昆,きんゆうぎょっこん
吟風弄月,ぎんぷうろうげつ
銀盃羽化,ぎんぱいうか
巾箱之寵,きんそうのちょう
金声玉振,きんせいぎょくしん
錦心繍口,きんしんしゅうこう
金城湯池,きんじょうとうち
錦上添花,きんじょうてんか
擒縦自在,きんしょうじざい
禽獣草木,きんじゅうそうもく
禽獣夷狄,きんじゅういてき
金枝玉葉,きんしぎょくよう
禽困覆車,きんこんふくしゃ
金谷酒数,きんこくのしゅすう
謹言慎行,きんげんしんこう
勤倹尚武,きんけんしょうぶ
金玉満堂,きんぎょくまんどう
琴棋書画,きんきしょが
琴歌酒賦,きんかしゅふ
巾幗之贈,きんかくのぞう
槿花一朝,きんかいっちょう
金塊珠礫,きんかいしゅれき
金甌無欠,きんおうむけつ
騎驢覓驢,きろべきろ
機略縦横,きりゃくじゅうおう
許由巣父,きょゆうそうほ
虚無縹渺,きょむひょうびょう
虚堂懸鏡,きょどうけんきょう
玉昆金友,ぎょっこんきんゆう
挙措進退,きょそしんたい
挙措失当,きょそしっとう
挙足軽重,きょそくけいちょう
虚静恬淡,きょせいてんたん
虚実皮膜,きょじつひまく
挙止進退,きょししんたい
居敬窮理,きょけいきゅうり
玉葉金枝,ぎょくようきんし
曲眉豊頬,きょくびほうきょう
曲突徙薪,きょくとつししん
玉兎銀蟾,ぎょくとぎんせん
跼天蹐地,きょくてんせきち
玉蟾金兎,ぎょくせんきんと
曲折浮沈,きょくせつふちん
玉石同砕,ぎょくせきどうさい
玉石同匱,ぎょくせきどうき
曲水流觴,きょくすいりゅうしょう
玉砕瓦全,ぎょくさいがぜん
曲肱之楽,きょくこうのたのしみ
虚気平心,きょきへいしん
挙棋不定,きょきふてい
虚往実帰,きょおうじっき
狂瀾怒濤,きょうらんどとう
興味索然,きょうみさくぜん
嚮壁虚造,きょうへききょぞう
驕兵必敗,きょうへいひっぱい
尭風舜雨,ぎょうふうしゅんう
尭年舜日,ぎょうねんしゅんじつ
仰天不愧,ぎょうてんふき
胸中成竹,きょうちゅうのせいちく
協心戮力,きょうしんりくりょく
驚心動魄,きょうしんどうはく
彊食自愛,きょうしょくじあい
驕奢淫逸,きょうしゃいんいつ
教唆煽動,きょうさせんどう
尭鼓舜木,ぎょうこしゅんぼく
匡衡壁鑿,きょうこうへきさく
恐惶謹言,きょうこうきんげん
狂言綺語,きょうげんきご
教外別伝,きょうげべつでん
薑桂之性,きょうけいのせい
僑軍孤進,きょうぐんこしん
恐懼感激,きょうくかんげき
胸襟秀麗,きょうきんしゅうれい
澆季末世,ぎょうきまっせ
澆季溷濁,ぎょうきこんだく
仰観俯察,ぎょうかんふさつ
強幹弱枝,きょうかんじゃくし
鏡花水月,きょうかすいげつ
矯角殺牛,きょうかくさつぎゅう
尭階三尺,ぎょうかいさんじゃく
矯枉過直,きょうおうかちょく
強悪強善,きょうあくきょうぜん
挙案斉眉,きょあんせいび 
急流勇退,きゅうりゅうゆうたい
朽木糞土,きゅうぼくふんど
朽木糞牆,きゅうぼくふんしょう
吸風飲露,きゅうふういんろ
魚鱗之陣,ぎょりんのじん
魚鱗鶴翼,ぎょりんかくよく
魚目混珠,ぎょもくこんしゅ
魚菽之祭,ぎょしゅくのまつり
魚質竜文,ぎょしつりょうぶん
魚塩之利,ぎょえんのり
魚爛土崩,ぎょらんどほう
窮年累世,きゅうねんるいせい
窮途末路,きゅうとまつろ
窮途之哭,きゅうとのこく
旧套墨守,きゅうとうぼくしゅ
九鼎大呂,きゅうていたいりょ
窮鳥入懐,きゅうちょうにゅうかい
九腸寸断,きゅうちょうすんだん
救世済民,きゅうせいさいみん
宮車晏駕,きゅうしゃあんが
窮山幽谷,きゅうざんゆうこく
泣斬馬謖,きゅうざんばしょく
丘山之功,きゅうざんのこう
九皐鳴鶴,きゅうこうのめいかく
泣血漣如,きゅうけつれんじょ
九棘三槐,きゅうきょくさんかい
汲汲忙忙,きゅうきゅうぼうぼう
魚網鴻離,ぎょもうこうり
金亀換酒,きんきかんしゅ
鳩首謀議,きゅうしゅぼうぎ
鳩形鵠面,きゅうけいこくめん
鳩首凝議,きゅうしゅぎょうぎ
魚竜爵馬,ぎょりょうしゃくば
鳩居鵲巣,きゅうきょじゃくそう
九牛一毛,きゅうぎゅうのいちもう
牛刀割鶏,ぎゅうとうかっけい
牛溲馬勃,ぎゅうしゅうばぼつ
牛驥同皁,ぎゅうきどうそう
牛鬼蛇神,ぎゅうきだしん
旧雨今雨,きゅううこんう
脚下照顧,きゃっかしょうこ
客塵煩悩,きゃくじんぼんのう
逆取順守,ぎゃくしゅじゅんしゅ
鬼面嚇人,きめんかくじん
季布一諾,きふのいちだく
鬼斧神工,きふしんこう
窮鼠噛猫,きゅうそごうびょう
驥服塩車,きふくえんしゃ
帰馬放牛,きばほうぎゅう
肌肉玉雪,きにくぎょくせつ
橘中之楽,きっちゅうのたのしみ
亀甲獣骨,きっこうじゅうこつ
佶屈聱牙,きっくつごうが
鞠躬尽瘁,きっきゅうじんすい
吉祥悔過,きちじょうけか
吉日良辰,きちじつりょうしん
貴賤上下,きせんじょうげ
巍然屹立,ぎぜんきつりつ
羈紲之僕,きせつのぼく
希世之雄,きせいのゆう
杞人天憂,きじんてんゆう
机上之論,きじょうのろん
貴種流離,きしゅりゅうり
鬼出電入,きしゅつでんにゅう
綺繻紈袴,きじゅがんこ
疑事無功,ぎじむこう
貴耳賤目,きじせんもく
箕山之志,きざんのこころざし
旗鼓堂堂,きこどうどう
気骨稜稜,きこつりょうりょう
騎虎之勢,きこのいきおい
規行矩歩,きこうくほ
跂行喙息,きこうかいそく
棄甲曳兵,きこうえいへい
危言覈論,きげんかくろん
規矩準縄,きくじゅんじょう
崎嶇坎軻,きくかんか
熙熙攘攘,ききじょうじょう
騏驥過隙,ききかげき
奇技淫巧,きぎいんこう
鬼瞰之禍,きかんのわざわい
奇貨可居,きかかきょ
機械之心,きかいのこころ
既往不咎,きおうふきゅう
疑雲猜霧,ぎうんさいむ
気韻生動,きいんせいどう
窮猿投林,きゅうえんとうりん
近郷近在,きんごうきんざい
鬼哭啾啾,きこくしゅうしゅう
勤倹力行,きんけんりっこう
恐恐謹言,きょうきょうきんげん
兢兢業業,きょうきょうぎょうぎょう
鬼手仏心,きしゅぶっしん
旗幟鮮明,きしせんめい
奇策縦横,きさくじゅうおう
気候風土,きこうふうど
奇奇怪怪,ききかいかい
奇怪千万,きかいせんばん
機会均等,きかいきんとう
気炎万丈,きえんばんじょう
気宇壮大,きうそうだい
勤労奉仕,きんろうほうし
金殿玉楼,きんでんぎょくろう
近所合壁,きんじょがっぺき
金城鉄壁,きんじょうてっぺき
緊褌一番,きんこんいちばん
金口木舌,きんこうぼくぜつ
謹厳実直,きんげんじっちょく
槿花一日,きんかいちじつ
金烏玉兎,きんうぎょくと
錦衣玉食,きんいぎょくしょく
議論百出,ぎろんひゃくしゅつ
義理人情,ぎりにんじょう
義理一遍,ぎりいっぺん
魚目燕石,ぎょもくえんせき
毀誉褒貶,きよほうへん
挙動不審,きょどうふしん
虚心坦懐,きょしんたんかい
挙国一致,きょこくいっち
局面打開,きょくめんだかい
玉石混交,ぎょくせきこんこう
旭日昇天,きょくじつしょうてん
曲学阿世,きょくがくあせい
局外中立,きょくがいちゅうりつ
虚虚実実,きょきょじつじつ
器用貧乏,きようびんぼう
強迫観念,きょうはくかんねん
共同戦線,きょうどうせんせん
驚天動地,きょうてんどうち
兄弟弟子,きょうだいでし
拱手傍観,きょうしゅぼうかん
行住坐臥,ぎょうじゅうざが
狂喜乱舞,きょうきらんぶ
恐悦至極,きょうえつしごく
旧態依然,きゅうたいいぜん
鳩首協議,きゅうしゅきょうぎ
九夏三伏,きゅうかさんぷく
亀毛兎角,きもうとかく
鬼面仏心,きめんぶっしん
吉凶禍福,きっきょうかふく
気息奄奄,きそくえんえん
欣喜雀躍,きんきじゃくやく
金科玉条,きんかぎょくじょう
危急存亡,ききゅうそんぼう
玉石混淆,ぎょくせきこんこう
興味津々,きょうみしんしん
共存共栄,きょうぞんきょうえい
急転直下,きゅうてんちょっか
九死一生,きゅうしいっしょう
起承転結,きしょうてんけつ
奇想天外,きそうてんがい
疑心暗鬼,ぎしんあんき
喜色満面,きしょくまんめん
起死回生,きしかいせい
牛飲馬食,ぎゅういんばしょく
喜怒哀楽,きどあいらく
危機一髪,ききいっぱつ
群集心理,ぐんしゅうしんり
苦心孤詣,くしんこけい
群竜無首,ぐんりょうむしゅ
君側之悪,くんそくのあく
葷酒山門,くんしゅさんもん
君子不器,くんしふき
君子万年,くんしばんねん
君子三楽,くんしのさんらく
君子三戒,くんしのさんかい
君子三畏,くんしのさんい
君子九思,くんしのきゅうし
焄蒿悽愴,くんこうせいそう
群軽折軸,ぐんけいせつじく
群疑満腹,ぐんぎまんぷく
群蟻附羶,ぐんぎふせん
君恩海壑,くんおんかいがく
九品蓮台,くほんれんだい
区聞陬見,くぶんすうけん
求不得苦,ぐふとくく
狗吠緇衣,くはいしい
苦肉之計,くにくのはかりごと
愚者一得,ぐしゃのいっとく
苦口婆心,くこうばしん
愚公移山,ぐこういざん
区区之心,くくのこころ
苦髪楽爪,くがみらくづめ
空即是色,くうそくぜしき
空空漠漠,くうくうばくばく
空空寂寂,くうくうじゃくじゃく
空谷跫音,くうこくのきょうおん
群鶏一鶴,ぐんけいのいっかく
狗馬之心,くばのこころ
愚問愚答,ぐもんぐとう
九分九厘,くぶくりん
狗尾続貂,くびぞくちょう
口不調法,くちぶちょうほう
苦心惨憺,くしんさんたん
苦学力行,くがくりっこう
空理空論,くうりくうろん
空中楼閣,くうちゅうろうかく
空中分解,くうちゅうぶんかい
群雄割拠,ぐんゆうかっきょ
君子豹変,くんしひょうへん
空前絶後,くうぜんぜつご
権謀術数,けんぼうじゅっすう
献芹之意,けんきんのい
経国大業,けいこくのたいぎょう
堅苦卓絶,けんくたくぜつ
蛍雪之功,けいせつのこう
懸腕枕腕,けんわんちんわん
懸腕直筆,けんわんちょくひつ
黔驢之技,けんろのぎ
堅牢堅固,けんろうけんご
牽攣乖隔,けんれんかいかく
彦倫鶴怨,げんりんかくえん
賢良方正,けんりょうほうせい
賢明愚昧,けんめいぐまい
肩摩轂撃,けんまこくげき
玄圃積玉,げんぽせきぎょく
言文一致,げんぶんいっち
剣抜弩張,けんばつどちょう
堅白同異,けんぱくどうい
堅忍質直,けんにんしっちょく
堅忍果決,けんにんかけつ
懸頭刺股,けんとうしこ
乾端坤倪,けんたんこんげい
阮籍青眼,げんせきせいがん
見性成仏,けんしょうじょうぶつ
言笑自若,げんしょうじじゃく
玄裳縞衣,げんしょうこうい
減収減益,げんしゅうげんえき
言者不知,げんしゃふち
妍姿艶質,けんしえんしつ
厳塞要徼,げんさいようきょう
堅塞固塁,けんさいこるい
堅甲利兵,けんこうりへい
元亨利貞,げんこうりてい
言行齟齬,げんこうそご
拳拳服膺,けんけんふくよう
蹇蹇匪躬,けんけんひきゅう
見賢思斉,けんけんしせい
剣戟森森,けんげきしんしん
元軽白俗,げんけいはくぞく
阮簡曠達,げんかんこうたつ
懸河之弁,けんがのべん
懸崖勒馬,けんがいろくば
狷介不羈,けんかいふき
懸崖撒手,けんがいさっしゅ
狷介固陋,けんかいころう
狷介孤高,けんかいここう
牽衣頓足,けんいとんそく
言易行難,げんいこうなん
兼愛無私,けんあいむし
兼愛交利,けんあいこうり
血脈貫通,けつみゃくかんつう
月中蟾蜍,げっちゅうのせんじょ
結縄之政,けつじょうのまつりごと
刖趾適屨,げっしてきく
月卿雲客,げっけいうんかく
譎詭変幻,けっきへんげん
月下推敲,げっかすいこう
厥角稽首,けっかくけいしゅ
灰身滅智,けしんめっち
激濁揚清,げきだくようせい
撃壌之歌,げきじょうのうた
桂林一枝,けいりんのいっし
軽慮浅謀,けいりょせんぼう
形容枯槁,けいようここう
鶏鳴之助,けいめいのたすけ
形名参同,けいめいさんどう
刑鞭蒲朽,けいべんほきゅう
繋風捕影,けいふうほえい
鶏皮鶴髪,けいひかくはつ
桂殿蘭宮,けいでんらんきゅう
軽諾寡信,けいだくかしん
傾側偃仰,けいそくえんぎょう
勁草之節,けいそうのせつ
蛍窓雪案,けいそうせつあん
景星鳳凰,けいせいほうおう
卿相雲客,けいしょううんかく
霓裳羽衣,げいしょううい
瓊枝栴檀,けいしせんだん
瓊枝玉葉,けいしぎょくよう
鶏尸牛従,けいしぎゅうしょう
荊山之玉,けいざんのぎょく
荊釵布裙,けいさいふくん
荊妻豚児,けいさいとんじ
刑故無小,けいこむしょう
傾国美女,けいこくのびじょ
桂玉之艱,けいぎょくのかん
荊棘銅駝,けいきょくどうだ
荊棘叢裏,けいきょくそうり
桂宮柏寝,けいきゅうはくしん
傾危之士,けいきのし
桂冠詩人,けいかんしじん
繋影捕風,けいえいほふう
形影相同,けいえいそうどう
形影相弔,けいえいそうちょう
経営惨憺,けいえいさんたん
形影一如,けいえいいちにょ
閨英闈秀,けいえいいしゅう
軽裘肥馬,けいきゅうひば
鶏口牛後,けいこうぎゅうご
牽羊悔亡,けんようかいぼう
犬馬之心,けんばのこころ
犬馬之養,けんばのよう
犬馬之労,けんばのろう
犬馬之年,けんばのとし
見兔放犬,けんとほうけん
犬馬之歯,けんばのよわい
犬牙相制,けんがそうせい
犬猿之仲,けんえんのなか
鶏犬不寧,けいけんふねい
権謀術策,けんぼうじゅっさく
堅忍不抜,けんにんふばつ
現世利益,げんせりやく
厳正中立,げんせいちゅうりつ
現状打破,げんじょうだは
現状維持,げんじょういじ
乾坤一擲,けんこんいってき
喧喧囂囂,けんけんごうごう
牽強付会,けんきょうふかい
欠席裁判,けっせきさいばん
外題学問,げだいがくもん
鶏鳴狗盗,けいめいくとう
軽妙洒脱,けいみょうしゃだつ
軽薄短小,けいはくたんしょう
敬天愛人,けいてんあいじん
軽佻浮薄,けいちょうふはく
経世済民,けいせいさいみん
傾城傾国,けいせいけいこく
軽挙妄動,けいきょもうどう
鯨飲馬食,げいいんばしょく
捲土重来,けんどちょうらい
言行一致,げんこういっち
月下氷人,げっかひょうじん
荒涼索莫,こうりょうさくばく
綱紀廃弛,こうきはいし
香気芬芬,こうきふんぷん
渾崙呑棗,こんろんどんそう
金輪奈落,こんりんならく
魂飛魄散,こんひはくさん
昏定晨省,こんていしんせい
根深柢固,こんしんていこ
今昔之感,こんじゃくのかん
渾渾沌沌,こんこんとんとん
困苦欠乏,こんくけつぼう
渾金璞玉,こんきんはくぎょく
孤陋寡聞,ころうかぶん
五倫十起,ごりんじっき
五倫五常,ごりんごじょう
虚融澹泊,こゆうたんぱく
枯木竜吟,こぼくりょうぎん
孤峰絶岸,こほうぜつがん
鼓舞激励,こぶげきれい
鼓腹撃壌,こふくげきじょう
寤寐思服,ごびしふく
胡馬北風,こばほくふう
孤独矜寡,こどくかんか
梧桐一葉,ごどういちよう
虎擲竜挐,こてきりょうだ
国君含垢,こっくんがんこう
克己復礼,こっきふくれい
五体投地,ごたいとうち
胡孫入袋,こそんにゅうたい
胡説乱道,こせつらんどう
鼓舌揺脣,こぜつようしん
古人糟魄,こじんのそうはく
五濁悪世,ごじょくあくせ
枯樹生華,こじゅせいか
後生菩提,ごしょうぼだい
五十知命,ごじゅうちめい
股肱之臣,ここうのしん
刻露清秀,こくろせいしゅう
孤苦零丁,こくれいてい
国利民福,こくりみんぷく
鵠面鳥形,こくめんちょうけい
国歩艱難,こくほかんなん
黒風白雨,こくふうはくう
黒白混淆,こくびゃくこんこう
克伐怨欲,こくばつえんよく
懇到切至,こんとうせっし
顧復之恩,こふくのおん
叩頭三拝,こうとうさんぱい
孝行恩愛,こうこうおんあい
困知勉行,こんちべんこう
刻苦精励,こっくせいれい
刻苦精進,こっくしょうじん
黒貂之裘,こくちょうのきゅう
国色天香,こくしょくてんこう
刻舟求剣,こくしゅうきゅうけん
黒歯彫題,こくしちょうだい
告朔餼羊,こくさくのきよう
哭岐泣練,こくききゅうれん
胡漢陵轢,こかんりょうれき
孤寡不穀,こかふこく
呉下阿蒙,ごかのあもう
五陰盛苦,ごおんじょうく
行屎走尿,こうしそうにょう
古往今来,こおうこんらい
孤影悄然,こえいしょうぜん
孤雲野鶴,こうんやかく
五蘊皆空,ごうんかいくう
光禄池台,こうろくのちだい
高楼大廈,こうろうたいか
亢竜有悔,こうりょうゆうかい
蛟竜毒蛇,こうりょうどくだ
膏粱子弟,こうりょうしてい
黄粱一炊,こうりょういっすい
毫釐千里,ごうりせんり
洽覧深識,こうらんしんしき
孔翊絶書,こうよくぜっしょ
紅葉良媒,こうようりょうばい
高陽酒徒,こうようのしゅと
衡陽雁断,こうようがんだん
鴻門玉斗,こうもんのぎょくと
孔孟老荘,こうもうろうそう
毫毛斧柯,ごうもうふか
黄霧四塞,こうむしそく
毫末之利,ごうまつのり
槁木死灰,こうぼくしかい
高鳳漂麦,こうほうひょうばく
黄茅白葦,こうぼうはくい
光芒一閃,こうぼういっせん
紅粉青蛾,こうふんせいが
咬文嚼字,こうぶんしゃくじ
光風霽月,こうふうせいげつ
敲氷求火,こうひょうきゅうか
香美脆味,こうびぜいみ
洪範九疇,こうはんきゅうちゅう
黄髪番番,こうはつはは
黄髪垂髫,こうはつすいちょう
侯覇臥轍,こうはがてつ
項背相望,こうはいそうぼう
狡兎三窟,こうとさんくつ
功徳兼隆,こうとくけんりゅう
皇統連綿,こうとうれんめん
紅灯緑酒,こうとうりょくしゅ
交頭接耳,こうとうせつじ
黄道吉日,こうどうきちにち
向天吐唾,こうてんとだ
孝悌忠信,こうていちゅうしん
口中雌黄,こうちゅうのしおう
黄中内潤,こうちゅうないじゅん
高談雄弁,こうだんゆうべん
高談闊歩,こうだんかっぽ
浩然之気,こうぜんのき
恍然大悟,こうぜんたいご
考績幽明,こうせきゆうめい
孔席墨突,こうせきぼくとつ
荒瘠斥鹵,こうせきせきろ
功成名遂,こうせいめいすい
曠世不羈,こうせいふき
曠世之才,こうせいのさい
曠世之感,こうせいのかん
後生可畏,こうせいかい
鉤心闘角,こうしんとうかく
嚆矢濫觴,こうしらんしょう
口耳四寸,こうじよんすん
苟且偸安,こうしょとうあん
攻城野戦,こうじょうやせん
向上機縁,こうじょうのきえん
黄裳元吉,こうしょうげんきつ
鉤章棘句,こうしょうきょくく
鉤縄規矩,こうじょうきく
高車駟馬,こうしゃしば
口耳之学,こうじのがく
曠日弥久,こうじつびきゅう
好事多魔,こうじたま
行尸走肉,こうしそうにく
口耳講説,こうじこうせつ
高山流水,こうざんりゅうすい
高山景行,こうざんけいこう
光彩陸離,こうさいりくり
幸災楽禍,こうさいらくか
光彩奪目,こうさいだつもく
鴻鵠之志,こうこくのこころざし
膏肓之疾,こうこうのしつ
恍恍惚惚,こうこうこつこつ
槁項黄馘,こうこうこうかく
巧言乱徳,こうげんらんとく
黄絹幼婦,こうけんようふ
高軒寵過,こうけんちょうか
皓月千里,こうげつせんり
高下在心,こうげざいしん
敲金撃石,こうきんげきせき
綱挙網疏,こうきょもうそ
巧偽拙誠,こうぎせっせい
光輝燦然,こうきさんぜん
合歓綢繆,ごうかんちゅうびゅう
紅顔可憐,こうがんかれん
鴻雁哀鳴,こうがんあいめい
高歌放吟,こうかほうぎん
広厦万間,こうかばんげん
効果覿面,こうかてきめん
高牙大纛,こうがだいとう
膏火自煎,こうかじせん
口角飛沫,こうかくひまつ
慷慨憤激,こうがいふんげき
後悔噬臍,こうかいぜいせい
光焔万丈,こうえんばんじょう
光陰如箭,こういんじょぜん
黄衣廩食,こういりんしょく
香囲粉陣,こういふんじん
縞衣綦巾,こういききん
挙一明三,こいちみょうさん
混水模魚,こんすいもぎょ
涸轍鮒魚,こてつのふぎょ
枯魚銜索,こぎょかんさく
鵠面鳩形,こくめんきゅうけい
牛頭馬頭,ごずめず
呼牛呼馬,こぎゅうこば
梧鼠之技,ごそのぎ
虎豹之文,こひょうのぶん
虎尾春氷,こびしゅんぴょう
虎頭蛇尾,ことうだび
虎嘯風生,こしょうふうしょう
虎口余生,ここうよせい
虎穴虎子,こけつこし
虎渓三笑,こけいさんしょう
狐狼盗難,ころうとうなん
狐狸変化,こりへんげ
狐死兎泣,こしときゅう
狐死首丘,こししゅきゅう
狐裘蒙戎,こきゅうもうじゅう
狐裘羔袖,こきゅうこうしゅう
狐仮虎威,こかこい
狐影蕭然,こえいしょうぜん
篝火狐鳴,こうかこめい
好機到来,こうきとうらい
好評嘖嘖,こうひょうさくさく
恒久平和,こうきゅうへいわ
五分五分,ごぶごぶ
甲論乙駁,こうろんおつばく
高論卓説,こうろんたくせつ
狐疑逡巡,こぎしゅんじゅん
呉牛喘月,ごぎゅうぜんげつ
極悪非道,ごくあくひどう
国士無双,こくしむそう
紅毛碧眼,こうもうへきがん
孔明臥竜,こうめいがりょう
豪放磊落,ごうほうらいらく
荒唐無稽,こうとうむけい
行動半径,こうどうはんけい
高枕安眠,こうちんあんみん
巧遅拙速,こうちせっそく
黄塵万丈,こうじんばんじょう
公序良俗,こうじょりょうぞく
公私混同,こうしこんどう
高材疾足,こうざいしっそく
高潔無比,こうけつむひ
恒久不変,こうきゅうふへん
剛毅木訥,ごうきぼくとつ
綱紀粛正,こうきしゅくせい
剛毅果断,ごうきかだん
傲岸不遜,ごうがんふそん
豪華絢爛,ごうかけんらん
行雲流水,こううんりゅうすい
高位高官,こういこうかん
蒟蒻問答,こんにゃくもんどう
金剛不壊,こんごうふえ
欣求浄土,ごんぐじょうど
狐狸妖怪,こりようかい
五風十雨,ごふうじゅうう
小春日和,こはるびより
固定観念,こていかんねん
木端微塵,こっぱみじん
滑稽洒脱,こっけいしゃだつ
誇大妄想,こだいもうそう
五臓六腑,ごぞうろっぷ
故事来歴,こじらいれき
古色蒼然,こしょくそうぜん
孤城落日,こじょうらくじつ
後生大事,ごしょうだいじ
古今無双,ここんむそう
古今独歩,ここんどっぽ
個個別別,ここべつべつ
五穀豊穣,ごこくほうじょう
極楽蜻蛉,ごくらくとんぼ
極楽往生,ごくらくおうじょう
渾然一体,こんぜんいったい
懇切丁寧,こんせつていねい
虎視眈眈,こしたんたん
孤軍奮闘,こぐんふんとう
公平無私,こうへいむし
巧言令色,こうげんれいしょく
厚顔無恥,こうがんむち
刻苦勉励,こっくべんれい
広大無辺,こうだいむへん
公明正大,こうめいせいだい
言語道断,ごんごどうだん
五里霧中,ごりむちゅう
孤立無援,こりつむえん
古今東西,ここんとうざい
呉越同舟,ごえつどうしゅう
三令五申,さんれいごしん
三老五更,さんろうごこう
三浴三薫,さんよくさんくん
山容水態,さんようすいたい
讒謗罵詈,ざんぼうばり
残編断簡,ざんぺんだんかん
三平二満,さんぺいじまん
三分鼎足,さんぶんていそく
散文精神,さんぶんせいしん
三百代言,さんびゃくだいげん
残杯冷炙,ざんぱいれいしゃ
三人文殊,さんにんもんじゅ
残忍酷薄,ざんにんこくはく
山濤識量,さんとうしきりょう
讒諂面諛,ざんてんめんゆ
参天弐地,さんてんじち
斬釘截鉄,ざんていせってつ
山中暦日,さんちゅうれきじつ
残息奄奄,ざんそくえんえん
山藪蔵疾,さんそうぞうしつ
三千世界,さんぜんせかい
三尺童子,さんせきのどうじ
三聖吸酸,さんせいきゅうさん
三世一爨,さんせいいっさん
三寸不律,さんずんふりつ
三十而立,さんじゅうじりつ
三者鼎談,さんしゃていだん
三舎退避,さんしゃたいひ
三者三様,さんしゃさんよう
三尺秋水,さんじゃく,の
三豕渉河,さんししょうか
三思後行,さんしこうこう
残山剰水,ざんざんじょうすい
斬衰斉衰,ざんさいしさい
山高水長,さんこうすいちょう
残膏賸馥,ざんこうしょうふく
三綱五常,さんこうごじょう
三軍暴骨,さんぐんばくこつ
三薫三沐,さんくんさんもく
三釁三浴,さんきんさんよく
三跪九叩,さんききゅうこう
山簡倒載,さんかんとうさい
山河襟帯,さんがきんたい
三界流転,さんがいるてん
三界無安,さんがいむあん
桟雲峡雨,さんうんきょうう
察言観色,さつげんかんしき
沙中偶語,さちゅうのぐうご
蹉跎歳月,さたさいげつ
左戚右賢,させきゆうけん
坐作進退,ざさしんたい
